Departamento;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Bermejo;CHACO;25.673;25.865;26.060;26.254;26.447;26.641;26.833;27.024;27.212;27.398;27.581;27.761;27.937;28.110;28.278;28.443
Chacabuco;CHACO;31.272;31.757;32.244;32.732;33.220;33.704;34.186;34.666;35.140;35.607;36.066;36.517;36.960;37.393;37.816;38.231
Comandante Fernández;CHACO;99.094;100.644;102.201;103.761;105.318;106.868;108.409;109.942;111.457;112.951;114.419;115.861;117.275;118.660;120.015;121.338
12 de Octubre ;CHACO;22.779;23.137;23.495;23.854;24.214;24.570;24.925;25.278;25.626;25.970;26.309;26.640;26.966;27.285;27.597;27.901
2 de Abril ;CHACO;7.670;7.688;7.709;7.732;7.754;7.777;7.799;7.822;7.844;7.866;7.888;7.909;7.931;7.952;7.972;7.993
Fray Justo Santa María de Oro ;CHACO;12.079;12.310;12.542;12.773;13.005;13.236;13.466;13.694;13.920;14.142;14.361;14.575;14.786;14.992;15.193;15.391
General Belgrano;CHACO;12.238;12.491;12.746;13.000;13.255;13.509;13.759;14.011;14.257;14.502;14.741;14.977;15.208;15.435;15.656;15.872
General Donovan;CHACO;13.842;13.890;13.937;13.985;14.033;14.081;14.128;14.174;14.221;14.266;14.311;14.355;14.398;14.440;14.481;14.522
General Güemes;CHACO;68.691;69.580;70.472;71.364;72.256;73.143;74.025;74.902;75.769;76.624;77.464;78.289;79.099;79.891;80.666;81.424
Independencia;CHACO;22.926;23.238;23.553;23.867;24.181;24.493;24.804;25.113;25.418;25.719;26.014;26.305;26.589;26.868;27.141;27.408
Libertad;CHACO;12.419;12.648;12.878;13.109;13.340;13.569;13.796;14.023;14.247;14.469;14.685;14.898;15.107;15.312;15.513;15.709
Libertador General San Martín;CHACO;60.499;61.340;62.185;63.029;63.874;64.714;65.549;66.379;67.199;68.009;68.805;69.585;70.352;71.102;71.836;72.552
Maipú;CHACO;25.950;26.067;26.196;26.324;26.450;26.574;26.694;26.812;26.925;27.033;27.136;27.234;27.327;27.414;27.495;27.571
Mayor Luis J. Fontana;CHACO;56.458;56.823;57.187;57.552;57.916;58.279;58.640;58.997;59.351;59.701;60.044;60.381;60.712;61.036;61.352;61.663
9 de Julio;CHACO;29.236;29.543;29.851;30.159;30.467;30.773;31.077;31.380;31.680;31.974;32.265;32.550;32.829;33.102;33.370;33.632
O'Higgins ;CHACO;20.642;20.757;20.873;20.988;21.105;21.219;21.333;21.447;21.559;21.669;21.778;21.885;21.990;22.092;22.193;22.291
Presidencia de la Plaza;CHACO;12.816;12.885;12.954;13.022;13.092;13.160;13.228;13.295;13.362;13.427;13.492;13.555;13.617;13.679;13.738;13.797
1º de Mayo;CHACO;10.542;10.742;10.942;11.143;11.343;11.543;11.741;11.938;12.134;12.326;12.515;12.701;12.883;13.061;13.235;13.406
Quitilipi;CHACO;34.888;35.275;35.664;36.053;36.442;36.829;37.213;37.596;37.975;38.347;38.714;39.073;39.426;39.773;40.110;40.441
San Fernando ;CHACO;400.053;404.373;408.691;413.022;417.339;421.638;425.922;430.173;434.391;438.554;442.642;446.661;450.608;454.478;458.272;461.965
San Lorenzo;CHACO;15.073;15.168;15.263;15.360;15.454;15.550;15.644;15.738;15.830;15.922;16.012;16.099;16.186;16.271;16.354;16.435
Sargento Cabral;CHACO;16.273;16.438;16.605;16.772;16.939;17.105;17.271;17.435;17.598;17.757;17.914;18.069;18.220;18.369;18.514;18.656
Tapenagá;CHACO;4.210;4.215;4.221;4.226;4.232;4.238;4.243;4.247;4.252;4.255;4.258;4.260;4.261;4.261;4.261;4.261
25 de Mayo;CHACO;29.936;30.177;30.419;30.661;30.903;31.144;31.384;31.622;31.856;32.089;32.317;32.540;32.759;32.975;33.185;33.391
Biedma ;CHUBUT;83.160;86.232;89.343;92.509;95.730;99.004;102.331;105.713;109.145;112.626;116.160;119.737;123.366;127.040;130.761;134.525
Cushamen;CHUBUT;21.118;21.495;21.863;22.221;22.579;22.925;23.259;23.586;23.910;24.228;24.538;24.835;25.126;25.407;25.689;25.954
Escalante;CHUBUT;187.917;192.629;197.295;201.973;206.647;211.306;215.956;220.603;225.237;229.821;234.397;238.946;243.481;247.987;252.463;256.916
Florentino Ameghino;CHUBUT;1.647;1.664;1.679;1.695;1.711;1.725;1.739;1.752;1.764;1.776;1.785;1.795;1.804;1.813;1.821;1.828
Futaleufú;CHUBUT;43.538;44.156;44.764;45.354;45.927;46.481;47.017;47.536;48.035;48.515;48.976;49.418;49.842;50.246;50.632;50.999
Gaiman;CHUBUT;11.253;11.435;11.614;11.790;11.962;12.130;12.293;12.453;12.608;12.759;12.904;13.047;13.184;13.316;13.445;13.568
Gastre;CHUBUT;1.454;1.438;1.428;1.422;1.409;1.401;1.398;1.394;1.387;1.377;1.368;1.365;1.358;1.353;1.342;1.338
Languiñeo;CHUBUT;3.130;3.136;3.142;3.147;3.149;3.149;3.147;3.145;3.140;3.135;3.127;3.118;3.107;3.096;3.082;3.068
Mártires;CHUBUT;794;781;769;761;753;747;741;734;729;725;715;711;704;700;695;692
Paso de Indios;CHUBUT;1.897;1.892;1.887;1.880;1.873;1.865;1.855;1.845;1.834;1.822;1.809;1.796;1.781;1.767;1.750;1.735
Rawson;CHUBUT;132.849;134.337;135.772;137.147;138.456;139.696;140.869;141.970;143.006;143.968;144.869;145.697;146.455;147.153;147.788;148.358
Río Senguer;CHUBUT;6.073;6.063;6.095;6.114;6.130;6.153;6.173;6.182;6.191;6.227;6.248;6.266;6.281;6.295;6.308;6.318
Sarmiento;CHUBUT;11.459;11.805;12.154;12.506;12.863;13.221;13.583;13.948;14.314;14.683;15.055;15.427;15.802;16.179;16.559;16.939
Tehuelches;CHUBUT;5.467;5.484;5.499;5.511;5.521;5.527;5.530;5.531;5.529;5.523;5.516;5.506;5.493;5.479;5.461;5.441
Telsen;CHUBUT;1.677;1.654;1.641;1.626;1.609;1.592;1.575;1.564;1.551;1.544;1.527;1.517;1.510;1.499;1.488;1.476
Calamuchita;CORDOBA;55.280;56.687;58.121;59.583;61.071;62.584;64.122;65.685;67.272;68.881;70.512;72.164;73.837;75.530;77.241;78.970
Capital;CORDOBA;1.370.585;1.379.518;1.388.374;1.397.130;1.405.753;1.414.201;1.422.453;1.430.554;1.438.492;1.446.201;1.453.684;1.460.905;1.467.867;1.474.541;1.481.028;1.487.310
Colón;CORDOBA;228.332;235.051;241.916;248.927;256.076;263.380;270.852;278.434;286.115;293.944;301.889;309.982;318.211;326.575;334.971;343.397
Cruz del Eje;CORDOBA;58.817;59.780;60.751;61.728;62.711;63.697;64.686;65.679;66.671;67.664;68.656;69.645;70.632;71.615;72.593;73.564
General Roca;CORDOBA;36.260;36.703;37.147;37.589;38.032;38.472;38.910;39.345;39.776;40.203;40.626;41.043;41.454;41.859;42.257;42.647
General San Martín;CORDOBA;128.491;130.104;131.720;133.335;134.949;136.555;138.155;139.746;141.326;142.892;144.441;145.973;147.485;148.975;150.443;151.884
Ischilín;CORDOBA;32.581;32.958;33.335;33.712;34.088;34.460;34.830;35.197;35.562;35.920;36.276;36.625;36.968;37.307;37.637;37.961
Juárez Celman;CORDOBA;61.183;62.044;62.908;63.775;64.643;65.511;66.377;67.242;68.103;68.960;69.812;70.658;71.496;72.326;73.147;73.958
Marcos Juárez;CORDOBA;105.787;106.757;107.724;108.682;109.631;110.567;111.490;112.398;113.291;114.165;115.019;115.851;116.662;117.448;118.209;118.945
Minas;CORDOBA;4.933;4.951;4.968;4.985;5.000;5.016;5.029;5.042;5.054;5.065;5.075;5.083;5.090;5.097;5.101;5.104
Pocho;CORDOBA;5.434;5.472;5.509;5.545;5.581;5.617;5.651;5.684;5.716;5.747;5.778;5.806;5.834;5.860;5.885;5.908
Presidente Roque Sáenz Peña;CORDOBA;36.936;37.299;37.660;38.018;38.374;38.725;39.073;39.415;39.753;40.084;40.409;40.727;41.037;41.340;41.633;41.918
Punilla;CORDOBA;178.438;181.781;185.161;188.574;192.018;195.488;198.982;202.497;206.031;209.578;213.136;216.702;220.275;223.850;227.422;230.989
Río Cuarto;CORDOBA;251.770;254.454;257.133;259.801;262.452;265.081;267.685;270.261;272.804;275.310;277.775;280.194;282.566;284.887;287.152;289.359
Río Primero;CORDOBA;47.029;47.706;48.385;49.068;49.751;50.435;51.118;51.800;52.481;53.159;53.832;54.501;55.165;55.825;56.476;57.120
Río Seco;CORDOBA;13.779;13.952;14.125;14.299;14.472;14.644;14.816;14.987;15.158;15.326;15.494;15.659;15.822;15.984;16.143;16.300
Río Segundo;CORDOBA;103.966;105.202;106.438;107.674;108.905;110.130;111.347;112.554;113.752;114.937;116.106;117.259;118.396;119.514;120.611;121.685
San Alberto;CORDOBA;37.021;37.687;38.361;39.040;39.724;40.414;41.107;41.804;42.504;43.206;43.908;44.613;45.317;46.021;46.725;47.426
San Javier;CORDOBA;53.640;54.302;54.964;55.625;56.286;56.944;57.598;58.249;58.894;59.534;60.165;60.790;61.406;62.013;62.609;63.195
San Justo;CORDOBA;206.874;209.103;211.328;213.545;215.749;217.935;220.101;222.244;224.361;226.448;228.501;230.517;232.495;234.432;236.323;238.167
Santa María;CORDOBA;99.377;101.266;103.177;105.108;107.058;109.023;111.002;112.995;114.999;117.013;119.033;121.060;123.090;125.124;127.158;129.189
Sobremonte;CORDOBA;4.735;4.771;4.807;4.841;4.875;4.908;4.941;4.973;5.003;5.034;5.063;5.091;5.118;5.144;5.168;5.191
Tercero Arriba;CORDOBA;112.947;113.867;114.778;115.680;116.570;117.444;118.302;119.143;119.964;120.764;121.541;122.294;123.022;123.723;124.397;125.040
Totoral;CORDOBA;18.574;18.879;19.186;19.495;19.805;20.117;20.430;20.744;21.058;21.372;21.686;22.000;22.312;22.623;22.933;23.241
Tulumba;CORDOBA;12.958;13.079;13.198;13.317;13.435;13.552;13.667;13.781;13.892;14.001;14.108;14.213;14.314;14.413;14.510;14.603
Unión;CORDOBA;107.298;108.400;109.499;110.593;111.678;112.754;113.816;114.868;115.905;116.924;117.925;118.906;119.867;120.804;121.717;122.606
Bella Vista;CORRIENTES;38.141;38.494;38.848;39.201;39.555;39.905;40.252;40.597;40.938;41.271;41.599;41.918;42.229;42.532;42.827;43.110
Berón de Astrada;CORRIENTES;2.523;2.553;2.583;2.613;2.643;2.673;2.702;2.732;2.761;2.789;2.817;2.844;2.870;2.896;2.921;2.945
Capital;CORRIENTES;367.002;371.478;375.966;380.449;384.925;389.369;393.790;398.163;402.483;406.728;410.878;414.927;418.880;422.722;426.443;430.053
Concepción;CORRIENTES;21.587;22.019;22.452;22.884;23.315;23.745;24.171;24.592;25.010;25.419;25.819;26.209;26.590;26.961;27.321;27.669
Curuzú Cuatiá;CORRIENTES;45.515;45.959;46.404;46.848;47.291;47.732;48.169;48.603;49.031;49.452;49.862;50.264;50.656;51.036;51.406;51.763
Empedrado;CORRIENTES;15.515;15.610;15.703;15.798;15.892;15.986;16.078;16.171;16.261;16.351;16.437;16.523;16.606;16.686;16.765;16.841
Esquina;CORRIENTES;31.644;31.788;31.933;32.078;32.223;32.366;32.508;32.649;32.788;32.925;33.059;33.191;33.318;33.441;33.563;33.678
General Alvear;CORRIENTES;8.158;8.156;8.152;8.149;8.146;8.143;8.139;8.137;8.134;8.131;8.128;8.127;8.124;8.122;8.121;8.119
General Paz;CORRIENTES;15.251;15.299;15.349;15.398;15.446;15.495;15.544;15.592;15.638;15.685;15.730;15.774;15.817;15.860;15.901;15.940
Goya;CORRIENTES;92.346;92.945;93.545;94.145;94.743;95.338;95.928;96.513;97.091;97.658;98.213;98.754;99.283;99.797;100.296;100.778
Itatí;CORRIENTES;9.409;9.491;9.573;9.654;9.735;9.817;9.897;9.977;10.055;10.132;10.208;10.282;10.353;10.424;10.491;10.557
Ituzaingó;CORRIENTES;32.001;32.170;32.339;32.510;32.679;32.847;33.014;33.180;33.344;33.505;33.661;33.815;33.964;34.110;34.251;34.388
Lavalle;CORRIENTES;29.458;29.881;30.306;30.730;31.153;31.574;31.992;32.407;32.815;33.216;33.609;33.993;34.366;34.731;35.083;35.424
Mburucuyá;CORRIENTES;9.501;9.559;9.617;9.675;9.734;9.791;9.849;9.906;9.962;10.017;10.071;10.124;10.176;10.226;10.274;10.321
Mercedes;CORRIENTES;41.741;42.051;42.361;42.670;42.980;43.287;43.592;43.895;44.193;44.486;44.773;45.052;45.326;45.591;45.849;46.098
Monte Caseros;CORRIENTES;37.236;37.706;38.179;38.651;39.122;39.590;40.054;40.515;40.970;41.417;41.854;42.279;42.696;43.100;43.492;43.871
Paso de los Libres;CORRIENTES;49.910;50.322;50.735;51.149;51.561;51.971;52.377;52.780;53.179;53.570;53.952;54.326;54.690;55.044;55.387;55.720
Saladas;CORRIENTES;22.831;22.998;23.165;23.333;23.498;23.664;23.829;23.991;24.152;24.310;24.464;24.615;24.762;24.905;25.044;25.179
San Cosme;CORRIENTES;14.732;14.936;15.140;15.346;15.551;15.753;15.955;16.156;16.352;16.546;16.736;16.921;17.102;17.278;17.447;17.613
San Luis del Palmar;CORRIENTES;18.033;18.227;18.420;18.614;18.806;18.999;19.188;19.377;19.563;19.746;19.925;20.100;20.270;20.435;20.596;20.752
San Martín;CORRIENTES;13.467;13.629;13.790;13.952;14.114;14.275;14.433;14.592;14.747;14.901;15.051;15.197;15.340;15.478;15.613;15.742
San Miguel;CORRIENTES;10.856;10.926;10.996;11.066;11.136;11.205;11.274;11.343;11.410;11.475;11.540;11.604;11.665;11.725;11.783;11.840
San Roque;CORRIENTES;18.863;18.968;19.072;19.178;19.282;19.386;19.489;19.591;19.692;19.791;19.888;19.983;20.075;20.165;20.252;20.336
Santo Tomé;CORRIENTES;62.721;63.784;64.850;65.915;66.978;68.035;69.084;70.123;71.150;72.157;73.143;74.106;75.045;75.957;76.843;77.699
Sauce;CORRIENTES;9.290;9.299;9.308;9.319;9.328;9.337;9.347;9.356;9.365;9.374;9.384;9.392;9.401;9.409;9.417;9.424
Colón;ENTRE RIOS;62.929;64.262;65.610;66.978;68.364;69.769;71.191;72.630;74.086;75.555;77.039;78.535;80.043;81.563;83.093;84.632
Concordia ;ENTRE RIOS;172.660;174.685;176.214;178.095;179.976;181.853;183.725;185.592;187.448;189.291;191.117;192.924;194.711;196.476;198.216;199.927
Diamante;ENTRE RIOS;47.112;47.551;47.990;48.428;48.863;49.294;49.721;50.145;50.565;50.978;51.384;51.782;52.175;52.558;52.933;53.298
Federación;ENTRE RIOS;69.640;70.953;72.276;73.615;74.969;76.335;77.715;79.106;80.510;81.921;83.341;84.769;86.203;87.641;89.084;90.530
Federal;ENTRE RIOS;26.298;26.497;26.695;26.892;27.087;27.279;27.468;27.654;27.836;28.014;28.189;28.358;28.522;28.682;28.836;28.984
Feliciano;ENTRE RIOS;15.332;15.451;15.570;15.688;15.804;15.919;16.033;16.145;16.255;16.363;16.468;16.571;16.670;16.767;16.861;16.951
Gualeguay;ENTRE RIOS;52.692;53.285;53.879;54.472;55.065;55.656;56.245;56.832;57.414;57.993;58.565;59.130;59.690;60.241;60.785;61.320
Gualeguaychú;ENTRE RIOS;111.146;112.462;113.779;115.098;116.416;117.732;119.044;120.352;121.655;122.948;124.231;125.501;126.759;128.003;129.229;130.439
Islas del Ibicuy;ENTRE RIOS;12.273;12.391;12.508;12.625;12.742;12.857;12.972;13.086;13.199;13.310;13.420;13.527;13.633;13.737;13.839;13.937
La Paz;ENTRE RIOS;68.082;68.427;69.021;69.432;69.835;70.230;70.615;70.991;71.356;71.710;72.051;72.378;72.691;72.990;73.274;73.542
Nogoyá;ENTRE RIOS;39.721;39.900;40.077;40.251;40.419;40.582;40.739;40.891;41.036;41.174;41.304;41.427;41.541;41.646;41.742;41.830
Paraná;ENTRE RIOS;345.428;348.672;351.907;355.130;358.337;361.515;364.668;367.792;370.876;373.924;376.912;379.856;382.741;385.567;388.325;391.022
San Salvador ;ENTRE RIOS;17.622;17.840;18.059;18.278;18.497;18.717;18.936;19.155;19.373;19.589;19.804;20.018;20.229;20.439;20.646;20.850
Tala;ENTRE RIOS;26.139;26.205;26.271;26.334;26.392;26.447;26.499;26.546;26.589;26.626;26.659;26.686;26.708;26.724;26.735;26.739
Uruguay;ENTRE RIOS;102.315;103.416;104.516;105.617;106.714;107.807;108.894;109.975;111.048;112.111;113.161;114.198;115.221;116.229;117.220;118.192
Victoria;ENTRE RIOS;36.347;36.688;37.029;37.369;37.707;38.042;38.373;38.702;39.028;39.349;39.665;39.974;40.279;40.576;40.868;41.152
Villaguay ;ENTRE RIOS;49.838;50.059;50.530;50.819;51.103;51.381;51.651;51.914;52.169;52.414;52.651;52.876;53.092;53.297;53.491;53.674
Bermejo;FORMOSA;14.614;14.788;14.962;15.135;15.305;15.473;15.641;15.805;15.968;16.127;16.281;16.431;16.576;16.718;16.853;16.983
Formosa;FORMOSA;243.648;246.546;249.432;252.299;255.142;257.952;260.727;263.471;266.173;268.814;271.381;273.881;276.309;278.654;280.914;283.080
Laishi;FORMOSA;17.777;17.905;18.033;18.161;18.287;18.413;18.536;18.658;18.777;18.895;19.009;19.120;19.228;19.333;19.433;19.529
Matacos;FORMOSA;14.930;15.162;15.394;15.623;15.852;16.078;16.300;16.521;16.737;16.949;17.156;17.356;17.551;17.739;17.920;18.094
Patiño;FORMOSA;71.425;72.006;72.584;73.159;73.730;74.293;74.850;75.401;75.942;76.471;76.987;77.488;77.974;78.445;78.898;79.333
Pilagás;FORMOSA;19.168;19.312;19.454;19.595;19.736;19.875;20.013;20.149;20.282;20.412;20.540;20.663;20.783;20.899;21.011;21.118
Pilcomayo;FORMOSA;88.467;89.356;90.241;91.121;91.994;92.855;93.709;94.551;95.379;96.189;96.978;97.745;98.490;99.211;99.905;100.571
Pirané;FORMOSA;67.331;67.595;67.856;68.117;68.375;68.631;68.883;69.133;69.378;69.618;69.852;70.079;70.300;70.514;70.720;70.917
Ramón Lista;FORMOSA;14.266;14.553;14.838;15.121;15.402;15.680;15.955;16.227;16.493;16.754;17.009;17.256;17.495;17.727;17.951;18.165
Cochinoca;JUJUY;12.873;12.955;13.036;13.114;13.190;13.265;13.336;13.405;13.471;13.533;13.592;13.647;13.699;13.747;13.791;13.832
Dr. Manuel Belgrano;JUJUY;269.080;273.067;277.070;281.080;285.090;289.087;293.073;297.051;301.009;304.936;308.821;312.671;316.474;320.238;323.959;327.628
El Carmen;JUJUY;98.361;100.146;101.941;103.748;105.566;107.391;109.222;111.058;112.896;114.733;116.567;118.397;120.222;122.041;123.852;125.650
Humahuaca;JUJUY;17.665;17.780;17.896;18.008;18.117;18.222;18.324;18.423;18.517;18.606;18.692;18.771;18.847;18.917;18.982;19.041
Ledesma;JUJUY;83.170;83.841;84.506;85.161;85.803;86.431;87.042;87.639;88.216;88.774;89.309;89.823;90.315;90.783;91.229;91.648
Palpalá;JUJUY;53.437;54.110;54.782;55.453;56.120;56.784;57.441;58.093;58.737;59.374;59.999;60.614;61.220;61.814;62.396;62.965
Rinconada;JUJUY;2.525;2.565;2.597;2.634;2.670;2.709;2.748;2.784;2.821;2.860;2.903;2.943;2.987;3.034;3.075;3.118
San Antonio;JUJUY;4.518;4.628;4.739;4.852;4.966;5.082;5.200;5.318;5.439;5.560;5.684;5.808;5.933;6.059;6.185;6.314
San Pedro;JUJUY;76.300;76.907;77.509;78.101;78.682;79.249;79.801;80.338;80.859;81.362;81.843;82.305;82.747;83.167;83.565;83.940
Santa Bárbara;JUJUY;18.041;18.161;18.280;18.395;18.507;18.617;18.722;18.824;18.921;19.015;19.103;19.185;19.264;19.337;19.405;19.466
Santa Catalina;JUJUY;2.861;2.840;2.816;2.791;2.766;2.741;2.721;2.695;2.670;2.644;2.619;2.597;2.577;2.555;2.529;2.502
Susques;JUJUY;3.856;3.885;3.915;3.943;3.972;4.000;4.027;4.053;4.079;4.104;4.127;4.151;4.172;4.194;4.214;4.233
Tilcara;JUJUY;12.499;12.777;13.057;13.341;13.629;13.918;14.211;14.508;14.807;15.107;15.410;15.713;16.019;16.326;16.634;16.943
Tumbaya;JUJUY;4.741;4.765;4.789;4.813;4.835;4.857;4.877;4.897;4.915;4.932;4.948;4.962;4.975;4.987;4.997;5.005
Valle Grande;JUJUY;2.495;2.509;2.523;2.536;2.550;2.563;2.575;2.587;2.598;2.609;2.619;2.628;2.637;2.644;2.652;2.659
Yavi;JUJUY;21.091;21.443;21.796;22.151;22.508;22.864;23.222;23.579;23.936;24.291;24.645;24.997;25.348;25.696;26.042;26.384
Atreucó;LA PAMPA;10.436;10.461;10.484;10.505;10.523;10.539;10.553;10.565;10.573;10.580;10.584;10.585;10.583;10.579;10.572;10.563
Caleu Caleu;LA PAMPA;2.367;2.407;2.447;2.487;2.527;2.567;2.607;2.648;2.688;2.729;2.768;2.809;2.848;2.889;2.928;2.967
Capital;LA PAMPA;107.914;109.162;110.396;111.626;112.846;114.047;115.221;116.384;117.536;118.669;119.781;120.858;121.922;122.966;123.989;124.984
Catriló;LA PAMPA;7.480;7.549;7.618;7.686;7.753;7.817;7.881;7.945;8.006;8.066;8.124;8.181;8.236;8.290;8.342;8.392
Chalileo;LA PAMPA;3.051;3.112;3.174;3.236;3.298;3.361;3.424;3.488;3.551;3.616;3.680;3.744;3.807;3.871;3.935;4.000
Chapaleufú;LA PAMPA;11.914;12.037;12.159;12.280;12.400;12.518;12.632;12.747;12.860;12.971;13.079;13.185;13.289;13.390;13.489;13.584
Chical Co;LA PAMPA;1.547;1.543;1.540;1.536;1.531;1.532;1.530;1.527;1.524;1.520;1.519;1.518;1.515;1.514;1.513;1.512
Conhelo;LA PAMPA;14.487;14.466;14.445;14.418;14.391;14.358;14.338;14.306;14.269;14.229;14.191;14.165;14.124;14.076;14.024;13.970
Curacó;LA PAMPA;1.066;1.079;1.093;1.105;1.118;1.131;1.144;1.156;1.169;1.180;1.193;1.204;1.217;1.228;1.240;1.251
Guatraché;LA PAMPA;9.088;9.075;9.061;9.044;9.026;9.005;8.982;8.957;8.931;8.902;8.871;8.838;8.803;8.766;8.726;8.685
Hucal;LA PAMPA;7.768;7.732;7.695;7.657;7.617;7.581;7.552;7.518;7.482;7.445;7.406;7.370;7.339;7.305;7.270;7.234
Lihuel Calel;LA PAMPA;457;439;424;408;394;380;369;357;345;334;324;314;305;296;289;282
Limay Mahuida;LA PAMPA;516;521;528;535;543;549;556;563;570;577;583;590;597;604;611;618
Loventué;LA PAMPA;8.854;8.890;8.924;8.958;8.988;9.017;9.044;9.069;9.092;9.113;9.131;9.147;9.161;9.173;9.183;9.190
Maracó;LA PAMPA;60.477;61.197;61.912;62.622;63.326;64.023;64.708;65.385;66.055;66.716;67.361;67.995;68.619;69.231;69.832;70.419
Puelén;LA PAMPA;9.664;9.901;10.138;10.380;10.623;10.872;11.123;11.376;11.634;11.894;12.157;12.423;12.691;12.962;13.235;13.511
Quemú Quemú;LA PAMPA;8.903;8.928;8.954;8.977;8.998;9.016;9.033;9.049;9.062;9.072;9.080;9.087;9.090;9.093;9.092;9.089
Rancul;LA PAMPA;10.966;10.990;11.014;11.035;11.054;11.069;11.082;11.093;11.102;11.108;11.111;11.111;11.108;11.103;11.095;11.084
Realicó;LA PAMPA;16.645;16.790;16.934;17.076;17.215;17.352;17.484;17.615;17.742;17.866;17.986;18.102;18.215;18.324;18.429;18.529
Toay;LA PAMPA;12.609;13.091;13.581;14.087;14.608;15.141;15.675;16.232;16.805;17.395;17.994;18.605;19.234;19.878;20.540;21.219
Trenel;LA PAMPA;5.591;5.562;5.534;5.504;5.472;5.440;5.418;5.393;5.368;5.342;5.325;5.306;5.287;5.266;5.245;5.223
Utracán;LA PAMPA;15.228;15.336;15.441;15.544;15.644;15.741;15.835;15.926;16.014;16.098;16.180;16.257;16.332;16.403;16.468;16.532
Arauco;LA RIOJA;15.835;16.051;16.271;16.493;16.718;16.944;17.171;17.400;17.629;17.856;18.083;18.309;18.533;18.755;18.975;19.191
Capital;LA RIOJA;185.579;189.203;192.872;196.588;200.334;204.110;207.904;211.706;215.513;219.320;223.101;226.872;230.610;234.308;237.966;241.574
Castro Barros;LA RIOJA;4.417;4.430;4.444;4.458;4.472;4.485;4.498;4.512;4.525;4.539;4.553;4.566;4.580;4.594;4.607;4.621
Chamical;LA RIOJA;14.565;14.670;14.778;14.886;14.996;15.108;15.218;15.330;15.442;15.554;15.664;15.775;15.884;15.994;16.100;16.206
Chilecito;LA RIOJA;50.720;51.601;52.490;53.391;54.302;55.217;56.126;57.049;57.972;58.894;59.812;60.721;61.622;62.516;63.397;64.269
Coronel Felipe Varela;LA RIOJA;9.945;9.936;9.927;9.918;9.909;9.900;9.890;9.881;9.872;9.863;9.853;9.844;9.835;9.826;9.817;9.808
Famatina;LA RIOJA;6.052;6.011;5.974;5.935;5.894;5.856;5.828;5.789;5.751;5.712;5.674;5.641;5.608;5.575;5.544;5.513
General Angel V. Peñaloza;LA RIOJA;3.167;3.169;3.171;3.173;3.175;3.177;3.179;3.181;3.183;3.185;3.187;3.188;3.191;3.193;3.195;3.197
General Belgrano;LA RIOJA;7.584;7.624;7.664;7.704;7.745;7.786;7.827;7.869;7.911;7.951;7.993;8.033;8.075;8.115;8.155;8.194
General Juan F. Quiroga;LA RIOJA;4.245;4.200;4.157;4.112;4.069;4.022;3.979;3.941;3.900;3.857;3.819;3.777;3.736;3.702;3.668;3.634
General Lamadrid;LA RIOJA;1.786;1.791;1.797;1.803;1.809;1.815;1.821;1.827;1.833;1.839;1.846;1.851;1.857;1.864;1.869;1.875
General Ocampo;LA RIOJA;7.367;7.352;7.337;7.322;7.307;7.291;7.276;7.259;7.244;7.228;7.213;7.197;7.182;7.166;7.152;7.136
General San Martín;LA RIOJA;5.092;5.102;5.112;5.124;5.134;5.144;5.156;5.166;5.176;5.188;5.198;5.208;5.220;5.230;5.240;5.250
Independencia;LA RIOJA;2.498;2.506;2.514;2.522;2.532;2.541;2.550;2.559;2.568;2.576;2.587;2.596;2.604;2.614;2.623;2.632
Rosario Vera Peñaloza;LA RIOJA;14.454;14.567;14.681;14.795;14.912;15.029;15.147;15.265;15.383;15.501;15.619;15.736;15.852;15.967;16.081;16.193
San Blas de los Sauces;LA RIOJA;4.049;4.035;4.021;4.006;3.991;3.976;3.961;3.945;3.930;3.914;3.899;3.884;3.869;3.854;3.840;3.826
Sanagasta;LA RIOJA;2.411;2.435;2.460;2.485;2.510;2.536;2.562;2.588;2.613;2.639;2.665;2.691;2.716;2.741;2.765;2.790
Vinchina;LA RIOJA;2.816;2.811;2.806;2.801;2.796;2.791;2.786;2.780;2.775;2.770;2.765;2.759;2.753;2.746;2.741;2.736
Capital;MENDOZA;117.730;117.952;118.172;118.390;118.607;118.821;119.033;119.243;119.450;119.654;119.854;120.051;120.246;120.437;120.625;120.809
General Alvear;MENDOZA;47.456;47.793;48.130;48.463;48.793;49.120;49.442;49.761;50.076;50.387;50.693;50.993;51.288;51.580;51.864;52.143
Godoy Cruz;MENDOZA;196.209;197.283;198.353;199.413;200.465;201.503;202.530;203.546;204.549;205.537;206.510;207.466;208.408;209.332;210.239;211.129
Guaymallén;MENDOZA;289.412;293.908;298.371;302.808;307.201;311.541;315.833;320.079;324.272;328.402;332.468;336.466;340.402;344.264;348.055;351.771
Junín;MENDOZA;38.652;39.103;39.553;39.998;40.440;40.876;41.309;41.735;42.156;42.572;42.980;43.382;43.778;44.167;44.548;44.921
La Paz;MENDOZA;10.238;10.299;10.362;10.423;10.483;10.543;10.602;10.660;10.718;10.775;10.831;10.886;10.940;10.993;11.046;11.097
Las Heras;MENDOZA;207.786;210.699;213.595;216.470;219.317;222.132;224.915;227.667;230.384;233.063;235.699;238.291;240.841;243.346;245.804;248.214
