Departamento;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Adolfo Alsina                                ;BUENOS AIRES;17.222;17.249;17.276;17.303;17.330;17.356;17.382;17.407;17.433;17.458;17.483;17.507;17.532;17.556;17.580;17.603
Adolfo Gonzales Chaves                      ;BUENOS AIRES;12.168;12.142;12.116;12.091;12.065;12.040;12.016;11.992;11.968;11.944;11.922;11.899;11.877;11.855;11.832;11.811
Alberti                                     ;BUENOS AIRES;10.746;10.773;10.799;10.824;10.850;10.875;10.900;10.924;10.948;10.972;10.995;11.018;11.041;11.064;11.085;11.107
Arrecifes ;BUENOS AIRES;29.252;29.473;29.690;29.905;30.117;30.326;30.532;30.735;30.936;31.133;31.328;31.520;31.709;31.895;32.078;32.259
Ayacucho                                    ;BUENOS AIRES;20.505;20.588;20.671;20.752;20.832;20.911;20.990;21.067;21.143;21.218;21.291;21.364;21.436;21.506;21.577;21.645
Azul                                        ;BUENOS AIRES;65.836;66.029;66.221;66.411;66.598;66.782;66.965;67.144;67.321;67.495;67.667;67.835;68.002;68.167;68.329;68.487
Bahía Blanca                                ;BUENOS AIRES;304.206;304.829;305.445;306.056;306.657;307.250;307.836;308.413;308.982;309.544;310.095;310.639;311.175;311.704;312.224;312.738
Balcarce                                    ;BUENOS AIRES;44.190;44.349;44.506;44.662;44.816;44.966;45.116;45.262;45.408;45.551;45.691;45.829;45.967;46.102;46.234;46.365
Baradero                                    ;BUENOS AIRES;32.969;33.325;33.677;34.027;34.371;34.710;35.045;35.375;35.701;36.022;36.338;36.649;36.956;37.258;37.556;37.849
Benito Juárez                               ;BUENOS AIRES;20.429;20.440;20.450;20.461;20.472;20.482;20.493;20.503;20.513;20.523;20.532;20.542;20.551;20.561;20.570;20.579
Berisso                                     ;BUENOS AIRES;89.070;89.877;90.675;91.466;92.246;93.015;93.773;94.522;95.259;95.987;96.701;97.406;98.101;98.786;99.461;100.126
Bolívar                                     ;BUENOS AIRES;34.468;34.626;34.783;34.939;35.092;35.244;35.393;35.540;35.684;35.828;35.969;36.108;36.244;36.378;36.512;36.642
Bragado                                     ;BUENOS AIRES;41.710;41.756;41.801;41.846;41.891;41.935;41.978;42.020;42.062;42.103;42.144;42.184;42.223;42.262;42.301;42.338
Brandsen                                    ;BUENOS AIRES;26.480;26.960;27.436;27.906;28.371;28.828;29.279;29.725;30.164;30.597;31.023;31.442;31.856;32.263;32.665;33.061
Campana                                     ;BUENOS AIRES;95.041;96.152;97.252;98.340;99.415;100.474;101.518;102.549;103.565;104.566;105.552;106.522;107.480;108.423;109.352;110.268
Cañuelas ;BUENOS AIRES;52.059;53.205;54.342;55.468;56.579;57.673;58.752;59.817;60.867;61.903;62.921;63.923;64.913;65.888;66.849;67.795
Capitán Sarmiento                           ;BUENOS AIRES;14.576;14.767;14.957;15.144;15.329;15.512;15.692;15.869;16.044;16.216;16.387;16.553;16.718;16.881;17.041;17.198
Carlos Casares                              ;BUENOS AIRES;22.407;22.544;22.680;22.815;22.947;23.078;23.206;23.334;23.459;23.583;23.704;23.824;23.941;24.059;24.173;24.286
Carlos Tejedor                              ;BUENOS AIRES;11.680;11.679;11.678;11.677;11.676;11.675;11.674;11.673;11.672;11.671;11.671;11.669;11.669;11.667;11.667;11.665
Carmen de Areco                             ;BUENOS AIRES;14.809;14.888;14.967;15.044;15.121;15.197;15.271;15.345;15.418;15.489;15.560;15.629;15.697;15.765;15.831;15.896
Castelli                                    ;BUENOS AIRES;8.270;8.312;8.354;8.396;8.437;8.478;8.517;8.556;8.595;8.633;8.671;8.708;8.744;8.781;8.816;8.851
Chacabuco                                   ;BUENOS AIRES;49.052;49.431;49.806;50.179;50.546;50.907;51.263;51.615;51.962;52.304;52.640;52.971;53.298;53.620;53.937;54.249
Chascomús                                   ;BUENOS AIRES;42.548;42.992;43.432;43.868;44.299;44.722;45.140;45.552;45.958;46.359;46.754;47.141;47.524;47.902;48.273;48.640
Chivilcoy                                   ;BUENOS AIRES;64.671;65.066;65.458;65.845;66.228;66.605;66.976;67.343;67.705;68.062;68.412;68.758;69.099;69.435;69.766;70.091
Colón                                       ;BUENOS AIRES;25.063;25.276;25.487;25.695;25.901;26.105;26.305;26.503;26.697;26.889;27.078;27.264;27.447;27.629;27.806;27.982
Coronel de Marina Leonardo Rosales;BUENOS AIRES;62.712;62.796;62.880;62.962;63.044;63.124;63.203;63.281;63.358;63.433;63.508;63.581;63.654;63.725;63.795;63.864
Coronel Dorrego                             ;BUENOS AIRES;15.998;15.911;15.829;15.747;15.668;15.589;15.511;15.435;15.359;15.285;15.212;15.141;15.070;15.000;14.931;14.864
Coronel Pringles                            ;BUENOS AIRES;23.179;23.068;22.965;22.861;22.760;22.659;22.561;22.463;22.368;22.273;22.180;22.089;21.999;21.910;21.823;21.737
Coronel Suárez                              ;BUENOS AIRES;38.628;38.812;38.988;39.163;39.336;39.506;39.673;39.838;40.001;40.162;40.320;40.474;40.627;40.778;40.927;41.073
Daireaux                                    ;BUENOS AIRES;17.013;17.138;17.263;17.387;17.508;17.629;17.747;17.863;17.979;18.093;18.204;18.314;18.422;18.530;18.635;18.738
Dolores                                     ;BUENOS AIRES;27.251;27.406;27.559;27.711;27.860;28.007;28.152;28.296;28.438;28.576;28.714;28.849;28.982;29.113;29.242;29.370
Ensenada                                    ;BUENOS AIRES;57.123;57.615;58.103;58.585;59.062;59.532;59.995;60.452;60.903;61.346;61.783;62.214;62.638;63.057;63.469;63.874
Escobar                                     ;BUENOS AIRES;215.256;218.766;223.018;227.205;231.337;235.408;239.461;243.456;247.385;251.245;255.073;258.805;262.495;266.121;269.692;273.209
Exaltación de la Cruz                       ;BUENOS AIRES;29.888;30.591;31.288;31.978;32.659;33.330;33.991;34.643;35.287;35.922;36.545;37.161;37.766;38.364;38.953;39.532
Florentino Ameghino  ;BUENOS AIRES;8.932;9.007;9.082;9.155;9.228;9.300;9.371;9.441;9.510;9.578;9.645;9.711;9.776;9.839;9.903;9.964
General Alvarado                            ;BUENOS AIRES;39.837;40.293;40.744;41.191;41.632;42.066;42.494;42.917;43.334;43.744;44.149;44.546;44.938;45.326;45.707;46.083
General Alvear                              ;BUENOS AIRES;11.234;11.260;11.286;11.311;11.336;11.361;11.385;11.410;11.433;11.456;11.480;11.503;11.524;11.546;11.568;11.590
General Arenales                            ;BUENOS AIRES;15.042;15.044;15.047;15.048;15.050;15.052;15.054;15.056;15.058;15.059;15.061;15.062;15.064;15.066;15.068;15.070
General Belgrano                            ;BUENOS AIRES;17.474;17.665;17.856;18.045;18.230;18.414;18.594;18.773;18.949;19.123;19.293;19.461;19.627;19.790;19.951;20.110
General Guido                               ;BUENOS AIRES;2.841;2.847;2.852;2.857;2.862;2.867;2.872;2.877;2.882;2.887;2.892;2.897;2.901;2.906;2.910;2.915
General Juan Madariaga                      ;BUENOS AIRES;19.880;20.062;20.241;20.419;20.594;20.767;20.938;21.106;21.273;21.436;21.596;21.755;21.912;22.065;22.217;22.367
General La Madrid                           ;BUENOS AIRES;10.892;10.866;10.839;10.814;10.788;10.763;10.738;10.713;10.689;10.665;10.642;10.619;10.596;10.573;10.551;10.529
General Las Heras                           ;BUENOS AIRES;14.955;15.215;15.472;15.727;15.978;16.226;16.469;16.710;16.948;17.182;17.412;17.639;17.863;18.083;18.300;18.514
General Lavalle                             ;BUENOS AIRES;3.713;3.792;3.870;3.947;4.023;4.099;4.172;4.246;4.318;4.389;4.459;4.528;4.596;4.663;4.729;4.794
General Paz                                 ;BUENOS AIRES;11.294;11.343;11.392;11.441;11.489;11.536;11.583;11.629;11.674;11.719;11.763;11.806;11.849;11.891;11.932;11.973
General Pinto      ;BUENOS AIRES;11.363;11.379;11.394;11.409;11.423;11.438;11.452;11.467;11.481;11.494;11.508;11.521;11.534;11.547;11.560;11.573
General Pueyrredón                          ;BUENOS AIRES;624.388;627.723;631.064;634.372;637.637;640.855;644.055;647.215;650.332;653.406;656.456;659.462;662.430;665.357;668.242;671.085
General Rodríguez                           ;BUENOS AIRES;87.339;89.700;92.041;94.357;96.643;98.895;101.116;103.308;105.469;107.599;109.695;111.759;113.795;115.802;117.780;119.727
General Viamonte                            ;BUENOS AIRES;18.232;18.288;18.343;18.397;18.451;18.505;18.556;18.608;18.659;18.709;18.758;18.807;18.855;18.903;18.949;18.995
General Villegas                            ;BUENOS AIRES;31.092;31.324;31.555;31.784;32.009;32.232;32.451;32.667;32.880;33.090;33.297;33.501;33.701;33.899;34.094;34.286
Guaminí                                     ;BUENOS AIRES;11.918;11.988;12.058;12.127;12.195;12.263;12.329;12.394;12.458;12.522;12.584;12.646;12.707;12.766;12.825;12.883
Hipólito Yrigoyen                           ;BUENOS AIRES;9.657;9.722;9.784;9.847;9.909;9.970;10.029;10.089;10.148;10.205;10.262;10.318;10.373;10.427;10.480;10.533
Junín                                       ;BUENOS AIRES;91.192;92.712;92.811;92.911;93.013;93.115;93.168;93.221;93.274;93.329;93.384;93.440;93.497;93.553;93.611;93.670
La Costa                                    ;BUENOS AIRES;70.033;70.933;71.826;72.708;73.580;74.439;75.285;76.121;76.945;77.756;78.554;79.341;80.118;80.883;81.637;82.379
La Plata ;BUENOS AIRES;659.575;664.746;670.477;676.195;681.831;687.378;692.779;698.164;703.504;708.733;713.947;719.013;724.010;728.912;733.741;738.505
Laprida                                     ;BUENOS AIRES;10.287;10.353;10.417;10.481;10.544;10.606;10.668;10.728;10.788;10.847;10.905;10.962;11.018;11.074;11.128;11.182
Las Flores                                  ;BUENOS AIRES;24.087;24.127;24.157;24.186;24.215;24.244;24.272;24.300;24.328;24.355;24.382;24.410;24.436;24.462;24.487;24.513
Leandro N. Alem;BUENOS AIRES;16.942;16.995;17.047;17.099;17.150;17.200;17.250;17.300;17.348;17.396;17.442;17.489;17.534;17.580;17.624;17.667
Lezama;BUENOS AIRES;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661;5.661
Lincoln                                     ;BUENOS AIRES;42.204;42.216;42.227;42.238;42.248;42.259;42.270;42.281;42.291;42.302;42.312;42.323;42.333;42.342;42.353;42.363
Lobería                                     ;BUENOS AIRES;17.671;17.736;17.799;17.863;17.925;17.986;18.047;18.107;18.166;18.224;18.281;18.338;18.393;18.447;18.502;18.555
Lobos                                       ;BUENOS AIRES;36.404;36.765;37.132;37.496;37.854;38.208;38.557;38.900;39.239;39.573;39.901;40.225;40.544;40.858;41.168;41.473
Luján                                       ;BUENOS AIRES;106.886;108.250;109.603;110.942;112.263;113.564;114.848;116.114;117.364;118.593;119.805;120.998;122.174;123.334;124.477;125.602
Magdalena;BUENOS AIRES;18.924;19.121;19.315;19.508;19.697;19.883;20.041;20.195;20.346;20.493;20.613;20.729;20.842;20.953;21.059;21.163
Maipú                                       ;BUENOS AIRES;10.255;10.263;10.275;10.288;10.301;10.314;10.328;10.343;10.357;10.372;10.388;10.402;10.419;10.435;10.452;10.469
Mar Chiquita                                ;BUENOS AIRES;21.361;21.782;22.199;22.612;23.019;23.420;23.816;24.206;24.591;24.971;25.344;25.712;26.075;26.432;26.784;27.131
Marcos Paz                                  ;BUENOS AIRES;54.337;55.618;56.887;58.145;59.385;60.607;61.811;63.001;64.174;65.329;66.466;67.586;68.691;69.780;70.853;71.909
Mercedes                                    ;BUENOS AIRES;63.759;64.184;64.607;65.025;65.437;65.844;66.245;66.640;67.030;67.415;67.793;68.165;68.532;68.895;69.252;69.603
Monte                                       ;BUENOS AIRES;21.111;21.357;21.638;21.915;22.207;22.482;22.832;23.127;23.396;23.699;23.896;24.198;24.485;24.796;25.103;25.393
Monte Hermoso;BUENOS AIRES;6.534;6.630;6.718;6.807;6.895;6.980;7.064;7.147;7.230;7.310;7.390;7.468;7.546;7.621;7.695;7.769
Navarro                                     ;BUENOS AIRES;17.184;17.293;17.399;17.505;17.609;17.712;17.815;17.914;18.013;18.110;18.206;18.301;18.394;18.485;18.575;18.665
